n,ach,cluster,projection,duality,aabbBuild,aabbBuildCount,init(kCBP),CD(kCBP),init(GJK),CD(GJK),kcbpModelCheckCount,count(Box),count(kCBP),count(GJK),count(real),
10, 10.00, 0.00,4, 1.00, 36.00, 3, 1.00, 0.00, 0.00, 0.00, 3, 2, 2, 2, 2,
20, 19.00, 1.00,7, 2.00, 95.00, 8, 0.00, 0.00, 0.00, 1.00, 8, 5, 3, 3, 2,
30, 32.00, 1.00,10, 4.00, 295.00, 25, 1.00, 1.00, 1.00, 1.00, 25, 37, 29, 29, 27,
50, 64.00, 2.00,16, 6.00, 449.00, 40, 2.00, 1.00, 1.00, 1.00, 40, 44, 34, 34, 33,
40, 46.00, 2.00,12, 5.00, 378.00, 33, 2.00, 0.00, 1.00, 1.00, 33, 26, 21, 21, 20,
60, 56.00, 3.00,19, 7.00, 601.00, 55, 2.00, 2.00, 2.00, 1.00, 55, 70, 56, 56, 53,
70, 73.00, 3.00,23, 8.00, 678.00, 63, 3.00, 2.00, 2.00, 2.00, 63, 90, 65, 65, 61,
90, 90.00, 4.00,29, 10.00, 898.00, 84, 3.00, 4.00, 4.00, 4.00, 84, 144, 106, 106, 103,
80, 79.00, 4.00,25, 10.00, 837.00, 78, 4.00, 3.00, 2.00, 5.00, 78, 123, 96, 96, 86,
100, 97.00, 5.00,32, 11.00, 991.00, 93, 5.00, 6.00, 5.00, 7.00, 93, 220, 183, 183, 170,
