n,ach,cluster,projection,duality,aabbBuild,aabbBuildCount,init(kCBP),CD(kCBP),init(GJK),CD(GJK),kcbpModelCheckCount,count(Box),count(kCBP),count(GJK),count(real),
10, 17.00, 1.00,12, 1.00, 277.00, 3, 0.00, 0.00, 0.00, 0.00, 3, 2, 0, 0, 0,
20, 36.00, 2.00,24, 3.00, 458.00, 5, 0.00, 2.00, 0.00, 1.00, 5, 3, 2, 2, 2,
30, 54.00, 2.00,38, 3.00, 2245.00, 25, 1.00, 16.00, 1.00, 15.00, 25, 34, 18, 18, 16,
50, 85.00, 4.00,62, 6.00, 3956.00, 44, 2.00, 6.00, 1.00, 6.00, 44, 52, 29, 29, 21,
40, 68.00, 3.00,50, 5.00, 3082.00, 34, 1.00, 20.00, 0.00, 20.00, 34, 26, 18, 18, 15,
60, 103.00, 5.00,74, 7.00, 4745.00, 53, 2.00, 6.00, 1.00, 6.00, 53, 68, 42, 42, 34,
70, 118.00, 5.00,88, 7.00, 5777.00, 64, 2.00, 59.00, 3.00, 59.00, 64, 100, 51, 51, 39,
90, 152.00, 7.00,115, 10.00, 7554.00, 84, 3.00, 73.00, 3.00, 72.00, 84, 145, 84, 84, 65,
80, 137.00, 6.00,99, 8.00, 6806.00, 76, 3.00, 51.00, 2.00, 51.00, 76, 119, 68, 68, 57,
100, 169.00, 8.00,128, 10.00, 8393.00, 93, 4.00, 96.00, 6.00, 92.00, 93, 237, 140, 140, 113,
