n,ach,cluster,projection,duality,aabbBuild,aabbBuildCount,init(kCBP),CD(kCBP),init(GJK),CD(GJK),kcbpModelCheckCount,count(Box),count(kCBP),count(GJK),count(real),
10, 6.00, 0.00,1, 2.00, 16.00, 3, 0.00, 0.00, 0.00, 0.00, 3, 2, 2, 2, 0,
200, 128.00, 14.00,21, 20.00, 1054.00, 200, 8.00, 26.00, 28.00, 26.00, 200, 1328, 718, 718, 556,
150, 92.00, 11.00,14, 15.00, 788.00, 149, 6.00, 15.00, 16.00, 14.00, 149, 727, 423, 424, 344,
30, 21.00, 3.00,3, 4.00, 125.00, 24, 1.00, 0.00, 1.00, 1.00, 24, 42, 31, 31, 24,
50, 29.00, 3.00,5, 6.00, 243.00, 46, 2.00, 2.00, 1.00, 1.00, 46, 66, 43, 43, 35,
130, 71.00, 9.00,13, 13.00, 682.00, 130, 5.00, 10.00, 11.00, 10.00, 130, 507, 276, 276, 223,
110, 64.00, 8.00,12, 11.00, 569.00, 108, 4.00, 9.00, 8.00, 9.00, 108, 393, 220, 220, 171,
70, 38.00, 5.00,8, 7.00, 361.00, 68, 3.00, 2.00, 4.00, 2.00, 68, 144, 77, 77, 61,
90, 62.00, 6.00,9, 10.00, 467.00, 88, 4.00, 5.00, 6.00, 5.00, 88, 261, 119, 119, 84,
100, 55.00, 7.00,10, 11.00, 509.00, 97, 4.00, 6.00, 7.00, 7.00, 97, 335, 200, 200, 161,
170, 98.00, 12.00,17, 18.00, 899.00, 170, 7.00, 16.00, 17.00, 15.00, 170, 786, 431, 431, 328,
