n,ach,cluster,projection,duality,aabbBuild,aabbBuildCount,init(kCBP),CD(kCBP),init(GJK),CD(GJK),kcbpModelCheckCount,count(Box),count(kCBP),count(GJK),count(real),
10, 19.00, 1.00,16, 1.00, 374.00, 3, 0.00, 0.00, 0.00, 0.00, 3, 2, 0, 0, 0,
20, 38.00, 1.00,32, 2.00, 488.00, 4, 0.00, 1.00, 0.00, 0.00, 4, 2, 2, 2, 2,
30, 59.00, 1.00,49, 3.00, 2318.00, 19, 1.00, 1.00, 0.00, 1.00, 19, 21, 7, 7, 5,
50, 94.00, 2.00,81, 6.00, 3159.00, 26, 1.00, 1.00, 1.00, 0.00, 26, 18, 7, 7, 5,
40, 76.00, 1.00,63, 4.00, 2532.00, 21, 1.00, 1.00, 0.00, 0.00, 21, 11, 8, 8, 5,
60, 114.00, 2.00,96, 6.00, 4419.00, 36, 2.00, 1.00, 1.00, 0.00, 36, 29, 9, 9, 4,
70, 137.00, 2.00,111, 8.00, 6114.00, 51, 2.00, 1.00, 1.00, 0.00, 51, 42, 15, 15, 12,
90, 166.00, 2.00,150, 10.00, 7601.00, 63, 3.00, 2.00, 1.00, 1.00, 63, 61, 17, 17, 11,
80, 149.00, 2.00,132, 9.00, 6922.00, 57, 3.00, 2.00, 2.00, 1.00, 57, 57, 19, 19, 8,
100, 184.00, 3.00,160, 10.00, 9245.00, 77, 3.00, 6.00, 3.00, 3.00, 77, 106, 37, 37, 21,
