moves,ConstructKCBP,init-CD,CDtime,count(kCBP),count(real),,moves,ConstructKCBP,init-CD,CDtime,count(kCBP),count(real)
10.00,18.80,212.00,3.80,2.00,2.00,,10.00,20.60,211.60,2.80,2.00,2.00
600.00,15.40,208.00,143.80,133.00,121.00,,600.00,26.20,211.20,85.20,132.00,121.00
900.00,24.40,210.60,216.80,215.00,192.00,,900.00,20.00,207.40,138.60,213.00,192.00
200.00,25.00,214.80,40.00,45.00,42.00,,200.00,19.20,217.60,23.00,44.00,42.00
700.00,24.00,210.40,163.00,165.00,149.00,,700.00,20.40,211.80,104.00,163.00,149.00
50.00,17.00,209.00,10.00,12.00,10.00,,50.00,20.00,208.00,6.20,12.00,10.00
300.00,20.00,209.60,58.00,67.00,61.00,,300.00,17.40,207.20,35.00,66.00,61.00
400.00,21.80,208.40,78.00,87.00,79.00,,400.00,16.20,207.00,46.40,86.00,79.00
500.00,23.00,210.40,114.40,109.00,99.00,,500.00,15.60,207.20,70.80,108.00,99.00
800.00,20.00,210.00,186.80,188.00,169.00,,800.00,18.20,211.00,118.20,186.00,169.00
100.00,19.40,209.20,18.20,23.00,20.00,,100.00,24.20,207.20,11.40,22.00,20.00
1000.00,18.20,209.00,233.80,230.00,204.00,,1000.00,21.80,207.00,151.60,228.00,204.00
