n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 6.00, 1.00,1, 1.00, 102.00, 4.00, 5, 2,
 600, 12.00, 2.00,2, 3.00, 103.00, 124.00, 156, 122,
 900, 13.00, 2.00,3, 3.00, 103.00, 195.00, 243, 191,
 200, 8.00, 1.00,2, 2.00, 102.00, 41.00, 54, 43,
 700, 6.00, 0.00,1, 2.00, 119.00, 142.00, 187, 147,
 50, 6.00, 1.00,1, 1.00, 103.00, 12.00, 15, 11,
 300, 14.00, 1.00,3, 3.00, 109.00, 59.00, 76, 62,
 400, 6.00, 0.00,2, 1.00, 116.00, 79.00, 103, 82,
 500, 14.00, 2.00,3, 3.00, 121.00, 105.00, 129, 102,
 800, 13.00, 2.00,2, 1.00, 110.00, 170.00, 217, 170,
 100, 6.00, 0.00,1, 2.00, 102.00, 25.00, 25, 20,
 1000, 14.00, 2.00,2, 3.00, 118.00, 210.00, 259, 202,
