n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 27.00, 1.00,26, 2.00, 4462.00, 1.00, 0, 0,
 600, 27.00, 1.00,26, 2.00, 4480.00, 71.00, 55, 41,
 900, 27.00, 1.00,26, 1.00, 4425.00, 119.00, 86, 62,
 200, 27.00, 1.00,26, 1.00, 4471.00, 27.00, 19, 14,
 700, 27.00, 1.00,26, 2.00, 4435.00, 88.00, 67, 48,
 50, 27.00, 1.00,26, 2.00, 4435.00, 3.00, 2, 1,
 300, 28.00, 1.00,26, 1.00, 4420.00, 34.00, 30, 20,
 400, 27.00, 1.00,27, 1.00, 4489.00, 44.00, 38, 27,
 500, 27.00, 1.00,26, 2.00, 4454.00, 57.00, 46, 33,
 800, 27.00, 1.00,26, 2.00, 4456.00, 100.00, 74, 55,
 100, 27.00, 0.00,27, 1.00, 4528.00, 13.00, 6, 3,
 1000, 27.00, 1.00,26, 1.00, 4458.00, 126.00, 90, 65,
