n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 14.00, 0.00,11, 1.00, 1360.00, 1.00, 0, 0,
 600, 15.00, 0.00,10, 2.00, 1385.00, 83.00, 57, 48,
 900, 13.00, 1.00,10, 1.00, 1343.00, 124.00, 91, 70,
 200, 14.00, 0.00,10, 2.00, 1365.00, 25.00, 15, 13,
 700, 13.00, 1.00,10, 2.00, 1338.00, 93.00, 66, 53,
 50, 15.00, 1.00,10, 2.00, 1387.00, 7.00, 3, 2,
 300, 13.00, 1.00,10, 2.00, 1372.00, 36.00, 23, 20,
 400, 14.00, 0.00,10, 2.00, 1397.00, 49.00, 31, 26,
 500, 14.00, 0.00,11, 2.00, 1346.00, 67.00, 44, 36,
 800, 13.00, 1.00,10, 1.00, 1356.00, 105.00, 78, 62,
 100, 14.00, 0.00,10, 1.00, 1371.00, 10.00, 6, 4,
 1000, 14.00, 0.00,10, 2.00, 1346.00, 154.00, 94, 72,
