moves, ConstructKCBP, init-CD, CDtime, count(kCBP), count(real)
 10,184.0, 7794.00, 124.00, 2, 2
 600,188.0, 7948.00, 6688.00, 68, 57
 900,203.0, 7689.00, 9671.00, 74, 63
 200,187.0, 7780.00, 2262.00, 17, 14
 700,182.0, 7798.00, 8441.00, 62, 48
 50,183.0, 7709.00, 67.00, 1, 1
 300,183.0, 7718.00, 2686.00, 23, 21
 400,183.0, 7724.00, 3043.00, 30, 24
 500,182.0, 7907.00, 6022.00, 50, 45
 800,183.0, 7704.00, 6636.00, 45, 42
 100,183.0, 7865.00, 647.00, 10, 8
 1000,183.0, 7924.00, 11032.00, 100, 88
