moves, ConstructKCBP, init-CD, CDtime, count(kCBP), count(real)
 10,181.0, 7762.00, 127.00, 2, 2
 600,185.0, 7818.00, 6653.00, 68, 57
 900,186.0, 7961.00, 9818.00, 74, 63
 200,183.0, 7745.00, 2257.00, 17, 14
 700,183.0, 7712.00, 8475.00, 62, 48
 50,199.0, 8243.00, 70.00, 1, 1
 300,182.0, 7713.00, 2736.00, 23, 21
 400,188.0, 7816.00, 3057.00, 30, 24
 500,187.0, 7816.00, 5824.00, 50, 45
 800,180.0, 7734.00, 6759.00, 45, 42
 100,189.0, 7938.00, 619.00, 10, 8
 1000,182.0, 7853.00, 10550.00, 100, 88
