moves,ConstructKCBP,init-CD,CDtime,count(kCBP),count(real),,moves,ConstructKCBP,init-CD,CDtime,count(kCBP),count(real)
10.00,183.80,7783.80,125.80,2.00,2.00,,10.00,181.80,7740.20,124.60,2.00,2.00
600.00,183.80,7754.20,6706.60,68.00,57.00,,600.00,182.60,7722.20,6668.00,68.00,57.00
900.00,186.80,7723.40,9643.60,74.00,63.00,,900.00,182.60,7742.60,9645.40,74.00,63.00
200.00,184.80,7795.00,2269.20,17.00,14.00,,200.00,182.00,7708.20,2257.00,17.00,14.00
700.00,182.80,7738.20,8514.60,62.00,48.00,,700.00,181.80,7693.80,8407.20,62.00,48.00
50.00,183.00,7727.40,67.60,1.00,1.00,,50.00,185.80,7826.00,65.80,1.00,1.00
300.00,183.60,7799.20,2735.40,23.00,21.00,,300.00,182.00,7703.80,2702.00,23.00,21.00
400.00,183.80,7761.20,3064.20,30.00,24.00,,400.00,184.00,7756.40,3051.00,30.00,24.00
500.00,183.00,7750.40,5856.40,50.00,45.00,,500.00,183.60,7787.60,5792.60,50.00,45.00
800.00,183.20,7775.60,6640.40,45.00,42.00,,800.00,182.20,7689.80,6596.40,45.00,42.00
100.00,183.80,7767.80,626.00,10.00,8.00,,100.00,184.80,7758.00,616.20,10.00,8.00
1000.00,183.60,7857.40,10747.40,100.00,88.00,,1000.00,182.40,7763.40,10452.60,100.00,88.00
