moves,ConstructKCBP,init-CD,CDtime,count(kCBP),count(real),,moves,ConstructKCBP,init-CD,CDtime,count(kCBP),count(real)
10.00,21.40,206.60,4.20,4.00,3.00,,10.00,16.20,206.20,4.00,4.00,3.00
600.00,23.40,204.20,162.20,169.00,159.00,,600.00,20.80,204.00,113.00,169.00,159.00
900.00,18.60,204.20,182.00,194.00,175.00,,900.00,24.80,204.00,111.60,194.00,175.00
200.00,23.60,204.20,46.00,42.00,39.00,,200.00,17.20,205.00,28.40,42.00,39.00
700.00,22.60,205.00,161.00,165.00,161.00,,700.00,24.40,204.40,101.60,165.00,161.00
50.00,18.80,205.20,5.00,7.00,7.00,,50.00,18.20,204.00,3.40,7.00,7.00
300.00,17.40,204.40,61.00,58.00,53.00,,300.00,21.00,204.40,37.20,58.00,53.00
400.00,22.40,205.40,78.40,77.00,70.00,,400.00,23.40,203.40,44.20,77.00,70.00
500.00,23.60,203.80,108.80,115.00,109.00,,500.00,19.00,205.60,67.80,115.00,109.00
800.00,21.80,204.40,145.60,150.00,135.00,,800.00,25.00,203.00,81.80,150.00,135.00
100.00,25.20,205.20,28.20,27.00,23.00,,100.00,20.40,205.00,20.40,27.00,23.00
1000.00,20.20,203.40,234.00,250.00,229.00,,1000.00,26.00,208.40,152.00,248.00,229.00
