moves, ConstructKCBP, init-CD, CDtime, count(kCBP), count(real)
 10,30.0, 1703.00, 7.00, 2, 2
 600,31.0, 1670.00, 1681.00, 125, 103
 900,31.0, 1683.00, 2632.00, 146, 122
 200,32.0, 1685.00, 538.00, 31, 27
 700,32.0, 1685.00, 1833.00, 117, 92
 50,32.0, 1679.00, 20.00, 4, 3
 300,31.0, 1679.00, 385.00, 37, 29
 400,31.0, 1680.00, 827.00, 53, 42
 500,31.0, 1677.00, 1203.00, 81, 62
 800,31.0, 1681.00, 1850.00, 105, 80
 100,31.0, 1681.00, 572.00, 19, 15
 1000,32.0, 1672.00, 3727.00, 170, 141
