n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 27.00, 1.00,26, 1.00, 4421.00, 2.00, 0, 0,
 600, 27.00, 1.00,27, 1.00, 4399.00, 113.00, 65, 39,
 900, 27.00, 1.00,26, 2.00, 4453.00, 134.00, 83, 64,
 200, 27.00, 1.00,26, 1.00, 4413.00, 31.00, 22, 14,
 700, 27.00, 1.00,26, 1.00, 4409.00, 103.00, 73, 41,
 50, 27.00, 1.00,26, 1.00, 4466.00, 3.00, 4, 0,
 300, 26.00, 1.00,27, 1.00, 4423.00, 44.00, 25, 18,
 400, 27.00, 1.00,26, 1.00, 4430.00, 68.00, 31, 18,
 500, 27.00, 1.00,26, 2.00, 4407.00, 58.00, 43, 27,
 800, 27.00, 0.00,27, 1.00, 4445.00, 86.00, 57, 36,
 100, 26.00, 1.00,26, 2.00, 4426.00, 14.00, 12, 7,
 1000, 27.00, 1.00,26, 2.00, 4414.00, 134.00, 93, 59,
