n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 28.00, 1.00,26, 1.00, 4449.00, 0.00, 0, 0,
 600, 27.00, 0.00,27, 1.00, 4377.00, 65.00, 65, 39,
 900, 26.00, 1.00,26, 2.00, 4390.00, 79.00, 83, 64,
 200, 27.00, 1.00,27, 1.00, 4397.00, 16.00, 22, 14,
 700, 27.00, 1.00,26, 1.00, 4408.00, 58.00, 73, 41,
 50, 27.00, 1.00,26, 1.00, 4459.00, 1.00, 4, 0,
 300, 27.00, 1.00,26, 2.00, 4374.00, 26.00, 25, 18,
 400, 26.00, 1.00,26, 1.00, 4451.00, 39.00, 31, 18,
 500, 27.00, 1.00,27, 1.00, 4409.00, 19.00, 43, 27,
 800, 26.00, 1.00,27, 1.00, 4426.00, 36.00, 57, 36,
 100, 27.00, 1.00,27, 1.00, 4451.00, 7.00, 12, 7,
 1000, 27.00, 0.00,27, 1.00, 4393.00, 56.00, 93, 59,
