moves,ConstructKCBP,init-CD,CDtime,count(kCBP),count(real),,moves,ConstructKCBP,init-CD,CDtime,count(kCBP),count(real)
10.00,55.60,4432.20,2.40,0.00,0.00,,10.00,56.40,4458.20,0.00,0.00,0.00
600.00,55.60,4414.80,115.00,65.00,39.00,,600.00,55.80,4398.60,64.60,65.00,39.00
900.00,55.40,4419.20,132.20,83.00,64.00,,900.00,55.60,4415.00,79.20,83.00,64.00
200.00,56.60,4433.40,31.00,22.00,14.00,,200.00,55.80,4400.00,16.20,22.00,14.00
700.00,55.00,4432.00,104.00,73.00,41.00,,700.00,55.60,4427.20,56.40,73.00,41.00
50.00,55.40,4450.20,3.00,4.00,0.00,,50.00,55.80,4427.00,1.20,4.00,0.00
300.00,55.60,4400.20,44.00,25.00,18.00,,300.00,56.60,4419.60,26.00,25.00,18.00
400.00,56.60,4425.40,67.20,31.00,18.00,,400.00,55.40,4425.20,40.20,31.00,18.00
500.00,55.60,4430.40,58.80,43.00,27.00,,500.00,56.80,4400.20,19.20,43.00,27.00
800.00,56.20,4444.40,86.00,57.00,36.00,,800.00,56.40,4420.00,36.60,57.00,36.00
100.00,55.80,4425.60,14.20,12.00,7.00,,100.00,55.60,4407.40,7.00,12.00,7.00
1000.00,55.40,4421.20,132.60,93.00,59.00,,1000.00,56.00,4408.40,56.40,93.00,59.00
