n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 3.00, 1.00,0, 1.00, 26.00, 0.00, 0, 0,
 600, 2.00, 1.00,0, 1.00, 15.00, 4.00, 16, 13,
 900, 2.00, 0.00,0, 0.00, 25.00, 8.00, 25, 21,
 200, 3.00, 0.00,1, 1.00, 22.00, 2.00, 7, 6,
 700, 1.00, 0.00,0, 1.00, 11.00, 6.00, 19, 15,
 50, 3.00, 0.00,1, 0.00, 23.00, 0.00, 1, 1,
 300, 1.00, 0.00,0, 1.00, 12.00, 2.00, 9, 8,
 400, 1.00, 0.00,0, 1.00, 12.00, 2.00, 12, 10,
 500, 1.00, 0.00,1, 0.00, 11.00, 3.00, 14, 12,
 800, 1.00, 0.00,1, 0.00, 11.00, 6.00, 21, 17,
 100, 3.00, 1.00,0, 1.00, 23.00, 1.00, 3, 2,
 1000, 3.00, 0.00,1, 1.00, 26.00, 9.00, 26, 21,
