moves,ConstructKCBP,init-CD,CDtime,count(kCBP),count(real),,moves,ConstructKCBP,init-CD,CDtime,count(kCBP),count(real)
10.00,2.40,13.80,0.00,0.00,0.00,,10.00,3.60,17.40,0.00,0.00,0.00
600.00,2.00,13.40,10.60,16.00,13.00,,600.00,3.40,17.20,4.40,16.00,13.00
900.00,3.20,14.80,16.20,25.00,21.00,,900.00,2.60,15.00,7.20,25.00,21.00
200.00,2.00,11.40,4.20,7.00,6.00,,200.00,3.80,18.20,2.20,7.00,6.00
700.00,2.40,14.60,12.40,19.00,15.00,,700.00,2.40,12.40,5.40,19.00,15.00
50.00,3.20,14.60,1.80,1.00,1.00,,50.00,3.40,16.60,0.00,1.00,1.00
300.00,2.40,13.40,4.60,9.00,8.00,,300.00,2.40,11.80,2.20,9.00,8.00
400.00,2.20,16.80,5.80,12.00,10.00,,400.00,3.00,14.60,2.20,12.00,10.00
500.00,2.80,16.40,7.60,14.00,12.00,,500.00,3.80,18.40,2.80,14.00,12.00
800.00,2.60,15.80,14.40,21.00,17.00,,800.00,4.00,18.20,7.60,21.00,17.00
100.00,3.00,12.80,2.20,3.00,2.00,,100.00,2.80,14.80,1.00,3.00,2.00
1000.00,3.00,16.80,20.40,26.00,21.00,,1000.00,3.20,16.60,8.00,26.00,21.00
