n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 5.00, 0.00,3, 0.00, 250.00, 0.00, 0, 0,
 600, 4.00, 0.00,3, 0.00, 250.00, 7.00, 5, 3,
 900, 4.00, 0.00,4, 0.00, 253.00, 12.00, 7, 5,
 200, 4.00, 0.00,3, 0.00, 251.00, 2.00, 2, 0,
 700, 4.00, 0.00,3, 0.00, 251.00, 9.00, 5, 3,
 50, 4.00, 0.00,4, 0.00, 255.00, 0.00, 0, 0,
 300, 4.00, 0.00,3, 1.00, 249.00, 4.00, 3, 1,
 400, 3.00, 1.00,3, 0.00, 254.00, 5.00, 3, 1,
 500, 3.00, 0.00,4, 0.00, 249.00, 5.00, 4, 2,
 800, 4.00, 0.00,4, 0.00, 250.00, 8.00, 5, 3,
 100, 4.00, 0.00,3, 1.00, 253.00, 1.00, 0, 0,
 1000, 4.00, 0.00,6, 1.00, 262.00, 12.00, 7, 5,
