n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 6.00, 0.00,6, 1.00, 499.00, 0.00, 0, 0,
 600, 6.00, 0.00,5, 1.00, 556.00, 3.00, 7, 5,
 900, 6.00, 0.00,5, 1.00, 516.00, 4.00, 13, 8,
 200, 6.00, 1.00,5, 1.00, 509.00, 1.00, 2, 2,
 700, 5.00, 0.00,6, 0.00, 501.00, 3.00, 10, 6,
 50, 6.00, 0.00,5, 0.00, 506.00, 0.00, 0, 0,
 300, 5.00, 1.00,5, 0.00, 494.00, 0.00, 3, 2,
 400, 5.00, 0.00,6, 0.00, 530.00, 1.00, 4, 2,
 500, 5.00, 1.00,5, 1.00, 536.00, 2.00, 6, 4,
 800, 5.00, 0.00,6, 0.00, 494.00, 3.00, 11, 7,
 100, 5.00, 1.00,5, 0.00, 495.00, 0.00, 0, 0,
 1000, 6.00, 0.00,6, 0.00, 502.00, 4.00, 13, 8,
