moves,ConstructKCBP,init-CD,CDtime,count(kCBP),count(real),,moves,ConstructKCBP,init-CD,CDtime,count(kCBP),count(real)
10.00,11.60,505.20,0.00,0.00,0.00,,10.00,12.40,499.40,0.00,0.00,0.00
600.00,12.20,497.80,7.20,7.00,5.00,,600.00,11.80,510.00,2.40,7.00,5.00
900.00,11.40,497.00,10.80,13.00,8.00,,900.00,11.80,499.80,4.00,13.00,8.00
200.00,11.80,496.00,3.00,2.00,2.00,,200.00,11.80,497.60,0.80,2.00,2.00
700.00,12.20,497.20,8.20,10.00,6.00,,700.00,12.20,499.40,3.00,10.00,6.00
50.00,11.40,500.40,0.40,0.00,0.00,,50.00,11.40,496.40,0.00,0.00,0.00
300.00,11.40,496.60,3.40,3.00,2.00,,300.00,12.20,502.60,0.40,3.00,2.00
400.00,11.60,495.80,4.00,4.00,2.00,,400.00,11.60,503.00,0.80,4.00,2.00
500.00,11.40,494.60,6.00,6.00,4.00,,500.00,11.40,510.40,2.40,6.00,4.00
800.00,12.00,499.20,8.40,11.00,7.00,,800.00,12.40,495.20,3.00,11.00,7.00
100.00,11.60,502.80,1.60,0.00,0.00,,100.00,11.60,497.00,0.00,0.00,0.00
1000.00,11.60,501.60,10.80,13.00,8.00,,1000.00,11.60,497.20,4.40,13.00,8.00
