moves,ConstructKCBP,init-CD,CDtime,count(kCBP),count(real),,moves,ConstructKCBP,init-CD,CDtime,count(kCBP),count(real)
10.00,5.20,154.60,0.00,0.00,0.00,,10.00,6.60,151.60,0.00,0.00,0.00
600.00,6.80,153.60,13.00,7.00,7.00,,600.00,5.20,151.60,8.60,7.00,7.00
900.00,7.20,153.20,21.00,12.00,11.00,,900.00,5.00,152.20,14.20,12.00,11.00
200.00,8.80,158.80,5.80,2.00,2.00,,200.00,7.60,152.00,3.00,2.00,2.00
700.00,7.20,152.20,13.80,9.00,9.00,,700.00,6.40,152.40,8.80,9.00,9.00
50.00,7.00,153.80,1.20,0.00,0.00,,50.00,5.80,155.40,0.00,0.00,0.00
300.00,8.00,153.00,6.60,3.00,3.00,,300.00,6.20,155.80,4.20,3.00,3.00
400.00,7.20,156.00,7.80,3.00,3.00,,400.00,5.60,154.20,4.00,3.00,3.00
500.00,8.20,154.40,12.20,5.00,5.00,,500.00,5.40,151.80,7.00,5.00,5.00
800.00,6.80,159.00,15.00,9.00,9.00,,800.00,8.20,166.40,8.60,9.00,9.00
100.00,8.40,153.40,2.00,0.00,0.00,,100.00,6.40,151.80,0.00,0.00,0.00
1000.00,7.00,154.60,21.40,12.00,11.00,,1000.00,7.40,154.20,14.80,12.00,11.00
