n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 17.00, 0.00,19, 1.00, 888.00, 0.00, 0, 0,
 600, 16.00, 1.00,18, 1.00, 883.00, 715.00, 6, 4,
 900, 18.00, 0.00,20, 0.00, 873.00, 412.00, 4, 3,
 200, 17.00, 0.00,19, 0.00, 870.00, 437.00, 1, 1,
 700, 17.00, 0.00,21, 0.00, 884.00, 708.00, 4, 3,
 50, 17.00, 0.00,19, 1.00, 894.00, 0.00, 0, 0,
 300, 17.00, 0.00,19, 0.00, 873.00, 1.00, 0, 0,
 400, 17.00, 0.00,20, 0.00, 884.00, 46.00, 2, 2,
 500, 17.00, 0.00,19, 1.00, 882.00, 842.00, 5, 5,
 800, 17.00, 0.00,20, 0.00, 878.00, 902.00, 4, 4,
 100, 17.00, 0.00,19, 0.00, 861.00, 177.00, 2, 2,
 1000, 16.00, 1.00,19, 0.00, 872.00, 1650.00, 9, 8,
