n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 18.00, 0.00,19, 0.00, 868.00, 0.00, 0, 0,
 600, 17.00, 0.00,20, 0.00, 851.00, 698.00, 6, 4,
 900, 17.00, 0.00,19, 1.00, 859.00, 389.00, 4, 3,
 200, 17.00, 0.00,19, 1.00, 860.00, 428.00, 1, 1,
 700, 17.00, 0.00,19, 0.00, 861.00, 697.00, 4, 3,
 50, 17.00, 0.00,19, 0.00, 873.00, 0.00, 0, 0,
 300, 16.00, 0.00,20, 1.00, 854.00, 0.00, 0, 0,
 400, 17.00, 0.00,19, 0.00, 860.00, 44.00, 2, 2,
 500, 17.00, 0.00,20, 0.00, 861.00, 829.00, 5, 5,
 800, 17.00, 0.00,19, 0.00, 860.00, 861.00, 4, 4,
 100, 17.00, 0.00,19, 0.00, 867.00, 173.00, 2, 2,
 1000, 16.00, 1.00,19, 0.00, 862.00, 1640.00, 9, 8,
