moves,ConstructKCBP,init-CD,CDtime,count(kCBP),count(real),,moves,ConstructKCBP,init-CD,CDtime,count(kCBP),count(real)
10.00,6.80,187.80,0.00,0.00,0.00,,10.00,6.80,188.20,0.00,0.00,0.00
600.00,7.00,187.00,113.20,12.00,12.00,,600.00,7.00,187.60,111.20,12.00,12.00
900.00,6.20,187.00,102.60,8.00,8.00,,900.00,7.80,185.60,99.60,8.00,8.00
200.00,7.60,187.80,46.80,1.00,1.00,,200.00,7.20,188.60,45.60,1.00,1.00
700.00,6.80,186.80,237.20,10.00,5.00,,700.00,7.40,187.00,231.80,10.00,5.00
50.00,6.80,188.00,0.20,0.00,0.00,,50.00,7.00,184.60,0.00,0.00,0.00
300.00,7.00,187.20,1.60,0.00,0.00,,300.00,7.00,185.60,0.20,0.00,0.00
400.00,7.20,186.60,12.00,5.00,4.00,,400.00,7.60,187.00,8.80,5.00,4.00
500.00,7.40,187.20,28.40,7.00,5.00,,500.00,7.00,187.80,25.20,7.00,5.00
800.00,7.00,186.20,178.40,13.00,10.00,,800.00,7.40,185.80,172.20,13.00,10.00
100.00,7.60,186.20,9.60,3.00,3.00,,100.00,6.60,186.00,8.40,3.00,3.00
1000.00,7.20,185.80,99.20,16.00,14.00,,1000.00,6.60,186.40,92.20,16.00,14.00
