n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 7.00, 0.00,6, 0.00, 195.00, 0.00, 0, 0,
 600, 4.00, 0.00,3, 0.00, 193.00, 175.00, 12, 12,
 900, 4.00, 0.00,3, 0.00, 192.00, 82.00, 8, 8,
 200, 3.00, 0.00,3, 0.00, 193.00, 4.00, 1, 1,
 700, 4.00, 0.00,3, 0.00, 193.00, 282.00, 10, 5,
 50, 4.00, 0.00,3, 0.00, 191.00, 1.00, 0, 0,
 300, 7.00, 1.00,3, 0.00, 204.00, 2.00, 0, 0,
 400, 3.00, 1.00,2, 0.00, 192.00, 72.00, 5, 4,
 500, 3.00, 0.00,3, 0.00, 199.00, 28.00, 7, 5,
 800, 3.00, 0.00,3, 0.00, 189.00, 145.00, 13, 10,
 100, 4.00, 0.00,2, 1.00, 192.00, 4.00, 3, 3,
 1000, 7.00, 1.00,3, 0.00, 192.00, 327.00, 16, 14,
