moves,ConstructKCBP,init-CD,CDtime,count(kCBP),count(real),,moves,ConstructKCBP,init-CD,CDtime,count(kCBP),count(real)
10.00,9.20,192.40,0.00,0.00,0.00,,10.00,7.40,193.80,0.00,0.00,0.00
600.00,7.40,193.40,177.20,12.00,12.00,,600.00,7.80,192.40,174.20,12.00,12.00
900.00,6.80,190.80,80.40,8.00,8.00,,900.00,6.20,190.60,75.20,8.00,8.00
200.00,6.80,192.60,3.80,1.00,1.00,,200.00,7.20,197.60,3.80,1.00,1.00
700.00,6.60,190.60,284.00,10.00,5.00,,700.00,8.80,193.60,275.80,10.00,5.00
50.00,7.00,191.60,0.60,0.00,0.00,,50.00,7.00,195.00,0.00,0.00,0.00
300.00,9.00,198.20,1.80,0.00,0.00,,300.00,6.80,192.20,0.20,0.00,0.00
400.00,8.00,191.20,67.60,5.00,4.00,,400.00,8.40,192.20,65.00,5.00,4.00
500.00,6.60,193.00,25.20,7.00,5.00,,500.00,8.20,193.60,20.00,7.00,5.00
800.00,7.00,192.80,147.20,13.00,10.00,,800.00,7.80,192.20,138.00,13.00,10.00
100.00,7.20,194.60,3.80,3.00,3.00,,100.00,7.00,193.80,2.80,3.00,3.00
1000.00,8.60,195.40,328.00,16.00,14.00,,1000.00,6.60,194.40,318.60,16.00,14.00
