n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 3.00, 0.00,1, 0.00, 12.00, 0.00, 0, 0,
 600, 2.00, 1.00,0, 1.00, 24.00, 14.00, 10, 8,
 900, 2.00, 0.00,0, 1.00, 15.00, 10.00, 9, 7,
 200, 3.00, 0.00,0, 0.00, 21.00, 4.00, 1, 1,
 700, 1.00, 0.00,0, 1.00, 12.00, 11.00, 14, 8,
 50, 2.00, 1.00,0, 1.00, 15.00, 1.00, 0, 0,
 300, 2.00, 0.00,0, 0.00, 11.00, 4.00, 2, 2,
 400, 2.00, 1.00,0, 1.00, 15.00, 6.00, 8, 6,
 500, 3.00, 1.00,0, 1.00, 14.00, 8.00, 11, 8,
 800, 3.00, 0.00,1, 1.00, 14.00, 14.00, 10, 8,
 100, 3.00, 0.00,1, 0.00, 22.00, 4.00, 4, 4,
 1000, 3.00, 0.00,1, 1.00, 14.00, 16.00, 22, 17,
