n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 2.00, 1.00,0, 1.00, 23.00, 0.00, 0, 0,
 600, 3.00, 0.00,1, 1.00, 15.00, 6.00, 10, 8,
 900, 3.00, 1.00,0, 1.00, 11.00, 3.00, 9, 7,
 200, 3.00, 0.00,1, 1.00, 15.00, 1.00, 1, 1,
 700, 3.00, 1.00,0, 1.00, 12.00, 5.00, 14, 8,
 50, 1.00, 0.00,1, 0.00, 11.00, 0.00, 0, 0,
 300, 1.00, 0.00,1, 0.00, 11.00, 0.00, 2, 2,
 400, 3.00, 0.00,1, 0.00, 18.00, 2.00, 8, 6,
 500, 3.00, 1.00,0, 1.00, 17.00, 3.00, 11, 8,
 800, 3.00, 1.00,0, 1.00, 11.00, 3.00, 10, 8,
 100, 3.00, 0.00,0, 0.00, 12.00, 2.00, 4, 4,
 1000, 3.00, 0.00,0, 1.00, 26.00, 6.00, 22, 17,
