moves,ConstructKCBP,init-CD,CDtime,count(kCBP),count(real),,moves,ConstructKCBP,init-CD,CDtime,count(kCBP),count(real)
10.00,7.80,241.40,0.00,0.00,0.00,,10.00,7.80,246.20,0.00,0.00,0.00
600.00,8.00,243.00,4.60,0.00,0.00,,600.00,7.40,243.40,0.00,0.00,0.00
900.00,8.00,244.00,4.20,2.00,1.00,,900.00,7.20,242.20,0.80,2.00,1.00
200.00,8.00,242.40,1.00,0.00,0.00,,200.00,8.00,242.80,0.20,0.00,0.00
700.00,7.80,241.60,4.40,1.00,1.00,,700.00,8.00,242.40,1.80,1.00,1.00
50.00,7.60,243.40,0.00,0.00,0.00,,50.00,7.40,242.20,0.00,0.00,0.00
300.00,7.80,243.00,0.20,0.00,0.00,,300.00,7.80,243.40,0.20,0.00,0.00
400.00,7.20,242.00,3.80,2.00,1.00,,400.00,7.60,241.00,2.80,2.00,1.00
500.00,7.40,243.40,2.40,1.00,0.00,,500.00,7.60,241.80,0.20,1.00,0.00
800.00,8.00,242.40,6.00,3.00,1.00,,800.00,7.80,241.60,1.60,3.00,1.00
100.00,7.40,244.80,3.00,2.00,2.00,,100.00,7.80,244.40,2.60,2.00,2.00
1000.00,7.40,243.00,9.20,5.00,3.00,,1000.00,7.80,242.80,2.40,5.00,3.00
