n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 2.00, 1.00,2, 0.00, 157.00, 0.00, 0, 0,
 600, 4.00, 0.00,2, 1.00, 151.00, 10.00, 6, 6,
 900, 3.00, 0.00,3, 0.00, 152.00, 6.00, 1, 1,
 200, 2.00, 0.00,2, 1.00, 159.00, 1.00, 1, 0,
 700, 3.00, 1.00,2, 0.00, 160.00, 6.00, 2, 1,
 50, 3.00, 0.00,2, 1.00, 152.00, 0.00, 0, 0,
 300, 3.00, 0.00,2, 1.00, 154.00, 2.00, 0, 0,
 400, 2.00, 0.00,2, 1.00, 155.00, 5.00, 3, 1,
 500, 3.00, 1.00,2, 1.00, 155.00, 5.00, 3, 2,
 800, 6.00, 1.00,5, 0.00, 157.00, 5.00, 5, 5,
 100, 3.00, 0.00,2, 1.00, 154.00, 6.00, 3, 2,
 1000, 3.00, 0.00,2, 1.00, 155.00, 14.00, 9, 9,
