n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 4.00, 0.00,2, 1.00, 176.00, 0.00, 0, 0,
 600, 2.00, 0.00,2, 1.00, 150.00, 5.00, 6, 6,
 900, 6.00, 1.00,4, 1.00, 153.00, 0.00, 1, 1,
 200, 3.00, 0.00,2, 0.00, 149.00, 1.00, 1, 0,
 700, 4.00, 0.00,2, 1.00, 153.00, 3.00, 2, 1,
 50, 6.00, 0.00,4, 1.00, 169.00, 0.00, 0, 0,
 300, 3.00, 0.00,2, 0.00, 150.00, 0.00, 0, 0,
 400, 3.00, 0.00,2, 1.00, 151.00, 3.00, 3, 1,
 500, 6.00, 0.00,4, 1.00, 152.00, 3.00, 3, 2,
 800, 6.00, 0.00,4, 0.00, 150.00, 2.00, 5, 5,
 100, 6.00, 0.00,5, 1.00, 153.00, 5.00, 3, 2,
 1000, 3.00, 0.00,2, 0.00, 150.00, 9.00, 9, 9,
