moves,ConstructKCBP,init-CD,CDtime,count(kCBP),count(real),,moves,ConstructKCBP,init-CD,CDtime,count(kCBP),count(real)
10.00,6.40,153.20,0.00,0.00,0.00,,10.00,6.80,160.80,0.00,0.00,0.00
600.00,6.60,154.00,7.80,6.00,6.00,,600.00,5.40,151.20,5.00,6.00,6.00
900.00,7.00,154.20,6.20,1.00,1.00,,900.00,7.40,155.60,0.20,1.00,1.00
200.00,8.80,154.00,1.40,1.00,0.00,,200.00,5.80,150.60,1.20,1.00,0.00
700.00,8.40,155.40,6.80,2.00,1.00,,700.00,6.40,151.00,2.80,2.00,1.00
50.00,8.00,154.00,0.00,0.00,0.00,,50.00,7.00,157.20,0.00,0.00,0.00
300.00,5.20,153.00,1.60,0.00,0.00,,300.00,8.00,156.80,0.20,0.00,0.00
400.00,6.00,152.20,4.80,3.00,1.00,,400.00,9.80,156.00,2.40,3.00,1.00
500.00,6.20,151.80,5.40,3.00,2.00,,500.00,7.00,151.80,3.00,3.00,2.00
800.00,7.00,155.20,5.20,5.00,5.00,,800.00,7.00,151.80,2.00,5.00,5.00
100.00,5.80,152.00,6.40,3.00,2.00,,100.00,7.00,152.40,5.60,3.00,2.00
1000.00,7.40,153.00,14.80,9.00,9.00,,1000.00,6.20,150.00,8.80,9.00,9.00
