n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 10.00, 1.00,6, 3.00, 208.00, 5.00, 2, 2,
 600, 14.00, 1.00,7, 3.00, 209.00, 153.00, 131, 122,
 900, 9.00, 1.00,6, 3.00, 219.00, 244.00, 209, 192,
 200, 10.00, 1.00,7, 3.00, 208.00, 45.00, 46, 42,
 700, 9.00, 1.00,6, 3.00, 210.00, 189.00, 161, 150,
 50, 9.00, 1.00,6, 3.00, 209.00, 11.00, 11, 9,
 300, 10.00, 1.00,6, 2.00, 208.00, 65.00, 67, 62,
 400, 10.00, 1.00,6, 3.00, 209.00, 89.00, 86, 80,
 500, 9.00, 1.00,7, 2.00, 209.00, 128.00, 107, 100,
 800, 10.00, 1.00,6, 2.00, 208.00, 209.00, 182, 169,
 100, 22.00, 2.00,14, 3.00, 209.00, 20.00, 22, 19,
 1000, 22.00, 3.00,13, 3.00, 215.00, 274.00, 223, 204,
