n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 10.00, 1.00,8, 3.00, 240.00, 5.00, 2, 2,
 600, 9.00, 1.00,6, 3.00, 215.00, 95.00, 130, 122,
 900, 10.00, 1.00,8, 4.00, 222.00, 156.00, 208, 192,
 200, 10.00, 1.00,7, 3.00, 220.00, 24.00, 45, 42,
 700, 10.00, 1.00,8, 2.00, 221.00, 105.00, 160, 150,
 50, 10.00, 1.00,6, 3.00, 224.00, 5.00, 11, 9,
 300, 11.00, 1.00,8, 3.00, 211.00, 38.00, 66, 62,
 400, 9.00, 1.00,6, 3.00, 216.00, 55.00, 85, 80,
 500, 9.00, 2.00,5, 3.00, 222.00, 69.00, 106, 100,
 800, 10.00, 1.00,6, 3.00, 220.00, 120.00, 181, 169,
 100, 12.00, 2.00,6, 3.00, 221.00, 14.00, 21, 19,
 1000, 9.00, 1.00,6, 3.00, 214.00, 156.00, 222, 204,
