n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 18.00, 0.00,31, 3.00, 2253.00, 0.00, 0, 0,
 600, 19.00, 0.00,34, 2.00, 2266.00, 11.00, 26, 13,
 900, 18.00, 1.00,30, 3.00, 2236.00, 28.00, 43, 21,
 200, 18.00, 1.00,30, 3.00, 2281.00, 3.00, 10, 4,
 700, 20.00, 0.00,30, 3.00, 2265.00, 19.00, 31, 16,
 50, 18.00, 1.00,30, 3.00, 2269.00, 1.00, 2, 0,
 300, 18.00, 1.00,30, 3.00, 2252.00, 5.00, 14, 7,
 400, 19.00, 0.00,30, 3.00, 2261.00, 6.00, 16, 8,
 500, 18.00, 0.00,31, 3.00, 2245.00, 7.00, 21, 10,
 800, 19.00, 0.00,30, 3.00, 2273.00, 20.00, 34, 18,
 100, 19.00, 0.00,32, 3.00, 2284.00, 2.00, 4, 2,
 1000, 19.00, 0.00,31, 3.00, 2241.00, 27.00, 43, 21,
