moves,ConstructKCBP,init-CD,CDtime,count(kCBP),count(real),,moves,ConstructKCBP,init-CD,CDtime,count(kCBP),count(real)
10.00,52.60,2256.40,0.80,0.00,0.00,,10.00,51.60,2258.00,0.00,0.00,0.00
600.00,53.40,2260.60,90.60,26.00,13.00,,600.00,52.80,2254.60,10.80,26.00,13.00
900.00,52.20,2255.60,154.60,43.00,21.00,,900.00,52.20,2255.80,27.40,43.00,21.00
200.00,52.20,2265.20,24.00,10.00,4.00,,200.00,52.20,2256.80,2.60,10.00,4.00
700.00,52.00,2265.80,116.60,31.00,16.00,,700.00,52.20,2254.40,19.60,31.00,16.00
50.00,52.60,2259.20,4.60,2.00,0.00,,50.00,52.00,2250.20,1.40,2.00,0.00
300.00,52.20,2263.60,38.20,14.00,7.00,,300.00,52.00,2251.00,5.20,14.00,7.00
400.00,52.40,2259.40,52.20,16.00,8.00,,400.00,52.00,2253.20,5.80,16.00,8.00
500.00,52.20,2260.00,75.40,21.00,10.00,,500.00,52.00,2255.40,7.40,21.00,10.00
800.00,54.00,2263.00,134.80,34.00,18.00,,800.00,52.20,2260.00,20.00,34.00,18.00
100.00,51.80,2262.80,10.00,4.00,2.00,,100.00,51.80,2256.60,2.20,4.00,2.00
1000.00,52.80,2252.00,167.20,43.00,21.00,,1000.00,52.20,2250.60,27.40,43.00,21.00
