n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 19.00, 1.00,26, 2.00, 1783.00, 12.00, 2, 2,
 600, 17.00, 1.00,23, 3.00, 1702.00, 1754.00, 119, 103,
 900, 17.00, 1.00,24, 2.00, 1717.00, 2581.00, 139, 122,
 200, 17.00, 1.00,24, 3.00, 1734.00, 562.00, 30, 27,
 700, 17.00, 1.00,24, 3.00, 1731.00, 1558.00, 111, 92,
 50, 17.00, 1.00,25, 3.00, 1795.00, 23.00, 4, 3,
 300, 17.00, 1.00,24, 3.00, 1715.00, 415.00, 34, 29,
 400, 17.00, 1.00,24, 3.00, 1706.00, 846.00, 52, 42,
 500, 17.00, 1.00,24, 3.00, 1725.00, 1285.00, 77, 61,
 800, 17.00, 1.00,24, 3.00, 1708.00, 1749.00, 101, 80,
 100, 18.00, 1.00,24, 3.00, 1758.00, 187.00, 17, 15,
 1000, 17.00, 1.00,24, 3.00, 1712.00, 3801.00, 167, 141,
