n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 17.00, 1.00,25, 3.00, 1717.00, 6.00, 2, 2,
 600, 17.00, 1.00,24, 3.00, 1709.00, 1637.00, 119, 103,
 900, 17.00, 1.00,24, 3.00, 1713.00, 2431.00, 139, 122,
 200, 17.00, 1.00,24, 3.00, 1709.00, 512.00, 30, 27,
 700, 17.00, 1.00,24, 2.00, 1699.00, 1421.00, 111, 92,
 50, 18.00, 1.00,24, 3.00, 1702.00, 16.00, 4, 3,
 300, 17.00, 1.00,23, 2.00, 1702.00, 353.00, 34, 29,
 400, 18.00, 1.00,24, 3.00, 1711.00, 766.00, 52, 42,
 500, 17.00, 1.00,24, 3.00, 1701.00, 1130.00, 76, 61,
 800, 17.00, 1.00,24, 3.00, 1703.00, 1649.00, 101, 80,
 100, 17.00, 1.00,24, 3.00, 1719.00, 170.00, 17, 15,
 1000, 17.00, 1.00,24, 2.00, 1704.00, 3636.00, 166, 141,
