moves, ConstructKCBP, init-CD, CDtime, count(kCBP), count(real)
 10,46.0, 1717.00, 6.00, 2, 2
 600,45.0, 1709.00, 1637.00, 119, 103
 900,45.0, 1713.00, 2431.00, 139, 122
 200,45.0, 1709.00, 512.00, 30, 27
 700,44.0, 1699.00, 1421.00, 111, 92
 50,46.0, 1702.00, 16.00, 4, 3
 300,43.0, 1702.00, 353.00, 34, 29
 400,46.0, 1711.00, 766.00, 52, 42
 500,45.0, 1701.00, 1130.00, 76, 61
 800,45.0, 1703.00, 1649.00, 101, 80
 100,45.0, 1719.00, 170.00, 17, 15
 1000,44.0, 1704.00, 3636.00, 166, 141
