moves,ConstructKCBP,init-CD,CDtime,count(kCBP),count(real),,moves,ConstructKCBP,init-CD,CDtime,count(kCBP),count(real)
10.00,18.00,103.00,3.60,3.00,2.00,,10.00,17.40,101.40,1.00,3.00,2.00
600.00,14.60,103.20,185.80,178.00,139.00,,600.00,12.80,102.40,69.60,178.00,139.00
900.00,14.60,104.00,237.00,191.00,161.00,,900.00,20.40,102.80,59.60,191.00,161.00
200.00,13.40,102.40,53.60,49.00,40.00,,200.00,15.80,101.80,15.80,49.00,40.00
700.00,15.60,103.20,205.00,179.00,139.00,,700.00,17.80,102.00,66.00,179.00,139.00
50.00,15.40,103.20,10.00,8.00,5.00,,50.00,17.20,102.00,2.60,8.00,5.00
300.00,18.20,103.40,82.40,66.00,55.00,,300.00,17.80,101.60,20.20,66.00,55.00
400.00,17.80,103.20,102.80,105.00,82.00,,400.00,20.40,101.60,31.60,105.00,82.00
500.00,15.60,104.80,138.60,133.00,104.00,,500.00,20.60,105.00,35.40,133.00,104.00
800.00,25.60,102.20,202.60,157.00,122.00,,800.00,16.60,101.80,49.60,157.00,122.00
100.00,14.60,103.80,29.00,26.00,21.00,,100.00,19.20,103.60,8.40,26.00,21.00
1000.00,19.80,103.60,255.00,250.00,209.00,,1000.00,12.80,101.40,75.60,250.00,209.00
