n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 18.00, 0.00,30, 3.00, 2242.00, 0.00, 0, 0,
 600, 18.00, 1.00,31, 2.00, 2235.00, 37.00, 31, 13,
 900, 19.00, 0.00,31, 2.00, 2232.00, 60.00, 39, 20,
 200, 19.00, 1.00,33, 2.00, 2232.00, 8.00, 10, 6,
 700, 18.00, 0.00,31, 3.00, 2252.00, 22.00, 22, 15,
 50, 18.00, 0.00,31, 3.00, 2219.00, 0.00, 0, 0,
 300, 19.00, 1.00,30, 3.00, 2217.00, 10.00, 11, 6,
 400, 18.00, 1.00,31, 2.00, 2223.00, 13.00, 15, 5,
 500, 18.00, 1.00,32, 2.00, 2237.00, 10.00, 18, 10,
 800, 18.00, 0.00,31, 3.00, 2241.00, 14.00, 17, 10,
 100, 18.00, 1.00,31, 2.00, 2335.00, 7.00, 9, 3,
 1000, 18.00, 0.00,32, 3.00, 2262.00, 36.00, 43, 20,
