n,ach,cluster,projection,duality,init,cdtime,count(kCBP),count(real),
 10, 17.00, 0.00,13, 0.00, 900.00, 0.00, 0, 0,
 600, 17.00, 0.00,14, 0.00, 869.00, 709.00, 5, 4,
 900, 17.00, 0.00,13, 0.00, 867.00, 408.00, 4, 3,
 200, 18.00, 1.00,14, 0.00, 867.00, 433.00, 1, 1,
 700, 17.00, 0.00,14, 0.00, 865.00, 703.00, 4, 3,
 50, 17.00, 0.00,14, 0.00, 874.00, 0.00, 0, 0,
 300, 17.00, 0.00,14, 0.00, 874.00, 0.00, 0, 0,
 400, 17.00, 0.00,13, 1.00, 876.00, 170.00, 3, 2,
 500, 17.00, 0.00,14, 0.00, 866.00, 826.00, 5, 5,
 800, 17.00, 0.00,13, 1.00, 865.00, 1009.00, 5, 4,
 100, 17.00, 1.00,13, 0.00, 874.00, 174.00, 2, 2,
 1000, 17.00, 0.00,14, 0.00, 866.00, 1690.00, 10, 8,
