n,ach,cluster,projection,duality,aabbBuild,aabbBuildCount,init(kCBP),CD(kCBP),init(GJK),CD(GJK),kcbpModelCheckCount,count(Box),count(kCBP),count(GJK),count(real),
10, 15.00, 1.00,3, 2.00, 35.00, 3, 0.00, 0.00, 0.00, 0.00, 3, 2, 2, 2, 2,
20, 22.00, 2.00,7, 2.00, 88.00, 8, 0.00, 0.00, 0.00, 0.00, 8, 5, 3, 3, 2,
30, 37.00, 2.00,9, 4.00, 274.00, 25, 1.00, 1.00, 1.00, 1.00, 25, 37, 29, 29, 27,
50, 55.00, 2.00,16, 6.00, 440.00, 40, 2.00, 1.00, 1.00, 1.00, 40, 44, 34, 34, 33,
40, 45.00, 2.00,13, 5.00, 361.00, 33, 2.00, 0.00, 0.00, 1.00, 33, 26, 21, 21, 20,
60, 58.00, 3.00,20, 7.00, 595.00, 55, 2.00, 2.00, 2.00, 2.00, 55, 70, 56, 56, 53,
70, 66.00, 4.00,22, 9.00, 694.00, 63, 3.00, 3.00, 2.00, 3.00, 63, 90, 65, 65, 61,
90, 87.00, 5.00,29, 11.00, 918.00, 84, 3.00, 4.00, 3.00, 4.00, 84, 144, 106, 106, 103,
80, 86.00, 4.00,36, 10.00, 864.00, 78, 3.00, 4.00, 3.00, 5.00, 78, 123, 96, 96, 86,
100, 101.00, 6.00,32, 12.00, 1025.00, 93, 4.00, 7.00, 5.00, 8.00, 93, 220, 183, 183, 170,
