n,ach,cluster,projection,duality,aabbBuild,aabbBuildCount,init(kCBP),CD(kCBP),init(GJK),CD(GJK),kcbpModelCheckCount,count(Box),count(kCBP),count(GJK),count(real),
10, 19.00, 1.00,16, 1.00, 357.00, 3, 0.00, 0.00, 0.00, 0.00, 3, 2, 0, 0, 0,
20, 38.00, 0.00,32, 3.00, 489.00, 4, 0.00, 0.00, 0.00, 0.00, 4, 2, 2, 2, 2,
30, 56.00, 1.00,48, 3.00, 2268.00, 19, 1.00, 1.00, 0.00, 0.00, 19, 21, 7, 7, 5,
50, 95.00, 1.00,81, 6.00, 3086.00, 26, 1.00, 1.00, 1.00, 0.00, 26, 18, 7, 7, 5,
40, 75.00, 1.00,64, 4.00, 2509.00, 21, 1.00, 0.00, 1.00, 0.00, 21, 11, 8, 8, 5,
60, 113.00, 2.00,95, 6.00, 4320.00, 36, 2.00, 1.00, 1.00, 0.00, 36, 29, 9, 9, 4,
70, 130.00, 2.00,111, 8.00, 6071.00, 51, 2.00, 2.00, 1.00, 1.00, 51, 42, 15, 15, 12,
90, 169.00, 3.00,143, 9.00, 7583.00, 63, 2.00, 3.00, 2.00, 1.00, 63, 61, 17, 17, 11,
80, 150.00, 2.00,126, 8.00, 6811.00, 57, 2.00, 3.00, 1.00, 1.00, 57, 57, 19, 19, 8,
100, 184.00, 2.00,159, 11.00, 9316.00, 77, 4.00, 6.00, 3.00, 3.00, 77, 106, 37, 37, 21,
