n,ach,cluster,projection,duality,aabbBuild,aabbBuildCount,init(kCBP),CD(kCBP),init(GJK),CD(GJK),kcbpModelCheckCount,count(Box),count(kCBP),count(GJK),count(real),
10, 27.00, 1.00,27, 1.00, 497.00, 2, 0.00, 0.00, 0.00, 0.00, 2, 1, 0, 0, 0,
20, 53.00, 2.00,52, 2.00, 1216.00, 5, 0.00, 0.00, 0.00, 0.00, 5, 3, 2, 2, 2,
30, 80.00, 2.00,77, 4.00, 5352.00, 22, 0.00, 1.00, 1.00, 0.00, 22, 29, 11, 11, 7,
50, 134.00, 4.00,132, 6.00, 7646.00, 31, 2.00, 1.00, 1.00, 0.00, 31, 27, 16, 16, 11,
40, 106.00, 3.00,103, 5.00, 6543.00, 27, 1.00, 1.00, 1.00, 0.00, 27, 15, 11, 11, 8,
60, 160.00, 4.00,155, 7.00, 11855.00, 48, 2.00, 2.00, 1.00, 1.00, 48, 43, 28, 28, 16,
70, 186.00, 5.00,179,1,1,1,1,1,1,1,1,1,1,1,1,
90, 236.00, 7.00,231,1,1,1,1,1,1,1,1,1,1,1,1,
80, 212.00, 6.00,203,1,1,1,1,1,1,1,1,1,1,1,1,
100, 264.00, 8.00,269,1,1,1,1,1,1,1,1,1,1,1,1,
