n,ach,cluster,projection,duality,aabbBuild,aabbBuildCount,init(kCBP),CD(kCBP),init(GJK),CD(GJK),kcbpModelCheckCount,count(Box),count(kCBP),count(GJK),count(real),
10, 16.00, 1.00,24, 3.00, 285.00, 3, 0.00, 0.00, 0.00, 0.00, 3, 2, 0, 0, 0,
20, 34.00, 2.00,47, 6.00, 469.00, 5, 0.00, 2.00, 0.00, 2.00, 5, 3, 2, 2, 2,
30, 49.00, 3.00,71, 8.00, 2318.00, 25, 2.00, 16.00, 1.00, 16.00, 25, 34, 17, 17, 16,
50, 87.00, 5.00,118, 13.00, 4122.00, 44, 5.00, 7.00, 2.00, 7.00, 44, 52, 29, 29, 21,
40, 75.00, 4.00,96, 12.00, 3246.00, 34, 3.00, 21.00, 2.00, 20.00, 34, 26, 18, 18, 15,
60, 99.00, 6.00,144, 16.00, 4932.00, 53, 5.00, 7.00, 3.00, 7.00, 53, 68, 40, 40, 34,
70, 114.00, 7.00,167, 18.00, 5972.00, 64, 6.00, 59.00, 5.00, 58.00, 64, 100, 48, 48, 39,
90, 147.00, 8.00,215, 24.00, 7726.00, 84, 7.00, 67.00, 6.00, 66.00, 84, 145, 81, 81, 65,
80, 142.00, 8.00,191, 21.00, 6997.00, 76, 8.00, 51.00, 5.00, 49.00, 76, 119, 66, 66, 57,
100, 161.00, 9.00,239, 26.00, 8719.00, 93, 9.00, 97.00, 12.00, 96.00, 93, 237, 138, 138, 113,
