n,ach,cluster,projection,duality,aabbBuild,aabbBuildCount,init(kCBP),CD(kCBP),init(GJK),CD(GJK),kcbpModelCheckCount,count(Box),count(kCBP),count(GJK),count(real),
10, 14.00, 1.00,18, 3.00, 225.00, 3, 1.00, 0.00, 0.00, 0.00, 3, 2, 0, 0, 0,
20, 32.00, 1.00,39, 6.00, 379.00, 5, 0.00, 0.00, 0.00, 0.00, 5, 3, 1, 1, 1,
30, 39.00, 2.00,57, 7.00, 1660.00, 22, 3.00, 1.00, 1.00, 0.00, 22, 25, 9, 9, 7,
50, 68.00, 3.00,92, 14.00, 2379.00, 32, 3.00, 1.00, 1.00, 0.00, 32, 26, 15, 15, 12,
40, 57.00, 2.00,75, 11.00, 2196.00, 29, 3.00, 1.00, 1.00, 0.00, 29, 17, 9, 9, 9,
60, 78.00, 4.00,112, 15.00, 3852.00, 52, 4.00, 3.00, 3.00, 2.00, 52, 52, 26, 26, 22,
70, 89.00, 5.00,131, 18.00, 4209.00, 57, 6.00, 4.00, 3.00, 3.00, 57, 63, 27, 27, 22,
90, 117.00, 5.00,169, 23.00, 5704.00, 77, 7.00, 5.00, 5.00, 3.00, 77, 102, 51, 51, 38,
80, 102.00, 6.00,150, 21.00, 5251.00, 71, 7.00, 5.00, 4.00, 2.00, 71, 83, 33, 33, 29,
100, 128.00, 6.00,193, 28.00, 6562.00, 88, 8.00, 11.00, 8.00, 6.00, 88, 168, 75, 75, 62,
