k, ConstructKCBP, ConstructModelAABB, init-CD(kCBP-aabb), init-CD(kCBP-GJK), count(kCBP), count(real)
24,137.0,1014.0,11.0,12.0, 183, 170
10,114.0,1014.0,7.0,8.0, 190, 170
26,138.0,1015.0,12.0,12.0, 184, 169
12,114.0,1014.0,8.0,9.0, 189, 170
20,128.0,1017.0,9.0,11.0, 184, 169
14,117.0,1009.0,8.0,9.0, 187, 170
22,140.0,1019.0,10.0,12.0, 183, 169
16,122.0,1012.0,8.0,9.0, 185, 170
46,183.0,1022.0,17.0,18.0, 175, 169
18,128.0,1008.0,9.0,11.0, 184, 169
44,177.0,1014.0,16.0,18.0, 177, 169
30,147.0,1033.0,12.0,13.0, 177, 168
28,145.0,1016.0,12.0,13.0, 179, 169
36,159.0,1015.0,14.0,15.0, 180, 170
40,169.0,1011.0,15.0,17.0, 177, 169
34,161.0,1015.0,13.0,14.0, 180, 170
38,181.0,1011.0,14.0,16.0, 177, 169
6,101.0,1010.0,6.0,7.0, 216, 170
8,123.0,1009.0,7.0,7.0, 204, 170
32,151.0,1017.0,13.0,14.0, 180, 170
42,169.0,1021.0,15.0,18.0, 177, 169
