k,ach,cluster,projection,duality,aabbBuild,aabbBuildCount,init(kCBP),CD(kCBP),init(GJK),CD(GJK),kcbpModelCheckCount,count(Box),count(kCBP),count(GJK),count(real),
24, 105.00, 5.00,32, 12.00, 1018.00, 93, 5.00, 6.00, 6.00, 7.00, 93, 220, 183, 183, 170,
10, 92.00, 3.00,15, 4.00, 1021.00, 93, 1.00, 7.00, 2.00, 6.00, 93, 220, 190, 190, 170,
26, 87.00, 5.00,35, 12.00, 1025.00, 93, 4.00, 7.00, 6.00, 7.00, 93, 220, 184, 184, 169,
12, 87.00, 5.00,18, 4.00, 1023.00, 93, 1.00, 6.00, 2.00, 6.00, 93, 220, 189, 189, 170,
20, 93.00, 5.00,27, 9.00, 1023.00, 93, 3.00, 6.00, 4.00, 6.00, 93, 220, 184, 184, 169,
14, 91.00, 6.00,20, 5.00, 1025.00, 93, 2.00, 6.00, 3.00, 6.00, 93, 220, 187, 187, 170,
22, 87.00, 6.00,30, 10.00, 1015.00, 93, 4.00, 6.00, 4.00, 7.00, 93, 220, 183, 183, 169,
16, 87.00, 6.00,22, 6.00, 1028.00, 93, 3.00, 6.00, 4.00, 6.00, 93, 220, 185, 185, 170,
46, 89.00, 9.00,60, 26.00, 1017.00, 93, 9.00, 8.00, 11.00, 8.00, 93, 220, 175, 175, 169,
18, 92.00, 5.00,25, 8.00, 1015.00, 93, 3.00, 7.00, 4.00, 6.00, 93, 220, 184, 184, 169,
44, 90.00, 10.00,57, 24.00, 1020.00, 93, 9.00, 7.00, 10.00, 8.00, 93, 220, 177, 177, 169,
30, 97.00, 7.00,40, 14.00, 1021.00, 93, 6.00, 6.00, 6.00, 7.00, 93, 220, 177, 177, 168,
28, 87.00, 7.00,37, 14.00, 1025.00, 93, 5.00, 7.00, 6.00, 7.00, 93, 220, 179, 179, 169,
36, 95.00, 8.00,45, 17.00, 1011.00, 93, 7.00, 6.00, 7.00, 8.00, 93, 220, 180, 180, 170,
40, 88.00, 8.00,50, 20.00, 1021.00, 93, 8.00, 7.00, 9.00, 7.00, 93, 220, 177, 177, 169,
34, 90.00, 8.00,44, 17.00, 1026.00, 93, 6.00, 7.00, 8.00, 7.00, 93, 220, 180, 180, 170,
38, 86.00, 8.00,49, 20.00, 1019.00, 93, 8.00, 6.00, 8.00, 8.00, 93, 220, 177, 177, 169,
6, 92.00, 0.00,10, 2.00, 1017.00, 93, 1.00, 5.00, 1.00, 6.00, 93, 220, 216, 216, 170,
8, 89.00, 3.00,13, 3.00, 1018.00, 93, 1.00, 6.00, 1.00, 6.00, 93, 220, 204, 204, 170,
32, 91.00, 7.00,42, 16.00, 1019.00, 93, 7.00, 6.00, 7.00, 7.00, 93, 220, 180, 180, 170,
42, 93.00, 7.00,54, 22.00, 1020.00, 93, 9.00, 6.00, 9.00, 8.00, 93, 220, 177, 177, 169,
