k,ach,cluster,projection,duality,aabbBuild,aabbBuildCount,init(kCBP),CD(kCBP),init(GJK),CD(GJK),kcbpModelCheckCount,count(Box),count(kCBP),count(GJK),count(real),
24, 55.00, 8.00,10, 11.00, 525.00, 97, 4.00, 7.00, 7.00, 6.00, 97, 335, 200, 200, 161,
10, 55.00, 5.00,5, 4.00, 522.00, 97, 1.00, 5.00, 2.00, 5.00, 97, 335, 232, 232, 161,
26, 65.00, 6.00,11, 12.00, 519.00, 97, 4.00, 8.00, 8.00, 6.00, 97, 335, 199, 199, 161,
12, 74.00, 6.00,6, 5.00, 525.00, 97, 1.00, 5.00, 3.00, 5.00, 97, 335, 229, 229, 161,
20, 64.00, 8.00,9, 8.00, 524.00, 97, 4.00, 5.00, 6.00, 6.00, 97, 335, 208, 208, 161,
14, 61.00, 7.00,6, 6.00, 523.00, 97, 2.00, 5.00, 4.00, 5.00, 97, 335, 220, 220, 161,
22, 68.00, 9.00,10, 9.00, 522.00, 97, 4.00, 6.00, 7.00, 5.00, 97, 335, 205, 205, 161,
16, 57.00, 7.00,7, 7.00, 523.00, 97, 2.00, 5.00, 5.00, 5.00, 97, 335, 217, 217, 161,
46, 62.00, 12.00,18, 26.00, 521.00, 97, 9.00, 9.00, 15.00, 9.00, 97, 335, 195, 195, 161,
18, 58.00, 6.00,8, 8.00, 522.00, 97, 3.00, 6.00, 6.00, 5.00, 97, 335, 217, 217, 161,
44, 61.00, 9.00,17, 24.00, 524.00, 97, 9.00, 9.00, 15.00, 7.00, 97, 335, 196, 196, 161,
30, 59.00, 8.00,12, 15.00, 520.00, 97, 5.00, 8.00, 9.00, 6.00, 97, 335, 199, 199, 161,
28, 57.00, 10.00,12, 13.00, 524.00, 97, 5.00, 7.00, 9.00, 6.00, 97, 335, 200, 200, 161,
36, 58.00, 11.00,15, 18.00, 525.00, 97, 7.00, 7.00, 11.00, 7.00, 97, 335, 196, 196, 161,
40, 69.00, 11.00,16, 20.00, 525.00, 97, 7.00, 9.00, 13.00, 7.00, 97, 335, 196, 196, 161,
34, 66.00, 8.00,13, 18.00, 522.00, 97, 6.00, 8.00, 12.00, 7.00, 97, 335, 196, 196, 161,
38, 58.00, 11.00,16, 19.00, 521.00, 97, 7.00, 9.00, 13.00, 7.00, 97, 335, 196, 196, 161,
6, 58.00, 0.00,3, 2.00, 527.00, 97, 0.00, 4.00, 2.00, 4.00, 97, 335, 288, 288, 161,
8, 62.00, 4.00,4, 3.00, 524.00, 97, 1.00, 4.00, 2.00, 4.00, 97, 335, 247, 247, 161,
32, 65.00, 10.00,14, 15.00, 523.00, 97, 6.00, 7.00, 11.00, 6.00, 97, 335, 199, 199, 161,
42, 57.00, 10.00,17, 23.00, 524.00, 97, 8.00, 9.00, 13.00, 8.00, 97, 335, 196, 196, 161,
