k, ConstructKCBP, ConstructModelAABB, init-CD(kCBP-aabb), init-CD(kCBP-GJK), count(kCBP), count(real)
24,86.0,524.0,11.0,13.0, 200, 161
10,73.0,523.0,6.0,7.0, 232, 161
26,93.0,520.0,12.0,14.0, 199, 161
12,73.0,525.0,6.0,8.0, 229, 161
20,93.0,527.0,9.0,11.0, 208, 161
14,91.0,523.0,7.0,9.0, 220, 161
22,92.0,524.0,10.0,12.0, 205, 161
16,84.0,523.0,8.0,10.0, 217, 161
46,110.0,524.0,18.0,23.0, 195, 161
18,77.0,522.0,9.0,11.0, 217, 161
44,112.0,522.0,18.0,23.0, 196, 161
30,109.0,524.0,13.0,16.0, 199, 161
28,90.0,523.0,12.0,15.0, 200, 161
36,98.0,525.0,13.0,18.0, 196, 161
40,113.0,525.0,16.0,20.0, 196, 161
34,109.0,523.0,14.0,18.0, 196, 161
38,107.0,522.0,17.0,19.0, 196, 161
6,59.0,522.0,4.0,6.0, 288, 161
8,86.0,521.0,6.0,6.0, 247, 161
32,110.0,524.0,13.0,17.0, 199, 161
42,107.0,522.0,17.0,21.0, 196, 161
