k,ConstructKCBP,ConstructModelAABB,init-CD(kCBP-aabb),init-CD(kCBP-GJK),count(kCBP),count(real)
24.00,84.40,523.80,11.00,13.20,200.00,161.00
10.00,76.00,523.00,6.00,7.00,232.00,161.00
26.00,95.80,526.60,11.80,14.20,199.00,161.00
12.00,80.40,523.80,6.40,8.00,229.00,161.00
20.00,90.40,524.40,9.00,11.60,208.00,161.00
14.00,81.20,523.00,7.00,8.80,220.00,161.00
22.00,94.60,523.20,9.80,12.60,205.00,161.00
16.00,85.80,525.00,7.80,10.00,217.00,161.00
46.00,115.80,524.20,18.00,23.20,195.00,161.00
18.00,80.80,526.20,8.80,11.00,217.00,161.00
44.00,109.80,522.60,18.00,22.60,196.00,161.00
30.00,96.20,523.20,13.40,15.80,199.00,161.00
28.00,96.40,525.40,11.80,15.40,200.00,161.00
36.00,100.40,527.80,14.20,18.20,196.00,161.00
40.00,112.40,523.80,16.20,20.00,196.00,161.00
34.00,106.40,523.60,14.00,18.00,196.00,161.00
38.00,109.00,522.60,16.20,19.80,196.00,161.00
6.00,62.00,525.00,4.40,5.60,288.00,161.00
8.00,74.20,522.00,5.20,6.20,247.00,161.00
32.00,102.60,522.80,12.80,17.00,199.00,161.00
42.00,106.40,522.40,17.00,21.00,196.00,161.00
