k,ach,cluster,projection,duality,aabbBuild,aabbBuildCount,init(kCBP),CD(kCBP),init(GJK),CD(GJK),kcbpModelCheckCount,count(Box),count(kCBP),count(GJK),count(real),
24, 174.00, 3.00,163, 11.00, 9469.00, 77, 4.00, 6.00, 2.00, 4.00, 77, 106, 37, 37, 21,
10, 176.00, 2.00,75, 4.00, 9459.00, 77, 1.00, 4.00, 1.00, 2.00, 77, 106, 43, 43, 21,
26, 175.00, 2.00,174, 13.00, 9372.00, 77, 4.00, 6.00, 3.00, 3.00, 77, 106, 37, 37, 21,
12, 177.00, 2.00,87, 5.00, 9530.00, 77, 1.00, 4.00, 1.00, 2.00, 77, 106, 41, 41, 21,
20, 173.00, 2.00,137, 9.00, 9495.00, 77, 3.00, 5.00, 2.00, 3.00, 77, 106, 37, 37, 21,
14, 190.00, 2.00,100, 5.00, 9445.00, 77, 1.00, 4.00, 1.00, 3.00, 77, 106, 40, 40, 21,
22, 173.00, 3.00,150, 10.00, 9465.00, 77, 2.00, 6.00, 2.00, 4.00, 77, 106, 37, 37, 21,
16, 177.00, 2.00,116, 9.00, 9480.00, 77, 2.00, 5.00, 1.00, 3.00, 77, 106, 41, 41, 21,
46, 172.00, 4.00,299, 26.00, 9366.00, 77, 7.00, 10.00, 5.00, 4.00, 77, 106, 36, 36, 21,
18, 176.00, 3.00,124, 8.00, 9480.00, 77, 3.00, 4.00, 1.00, 4.00, 77, 106, 39, 39, 21,
44, 173.00, 3.00,287, 24.00, 9382.00, 77, 7.00, 8.00, 5.00, 4.00, 77, 106, 37, 37, 21,
30, 174.00, 2.00,200, 15.00, 9381.00, 77, 4.00, 6.00, 3.00, 4.00, 77, 106, 36, 36, 21,
28, 174.00, 3.00,188, 13.00, 9360.00, 77, 4.00, 6.00, 2.00, 4.00, 77, 106, 36, 36, 21,
36, 173.00, 3.00,232, 18.00, 9363.00, 77, 5.00, 7.00, 4.00, 3.00, 77, 106, 37, 37, 21,
40, 173.00, 2.00,255, 21.00, 9384.00, 77, 6.00, 7.00, 4.00, 4.00, 77, 106, 37, 37, 21,
34, 178.00, 3.00,225, 18.00, 9380.00, 77, 5.00, 7.00, 3.00, 4.00, 77, 106, 37, 37, 21,
38, 173.00, 3.00,252, 20.00, 9360.00, 77, 5.00, 8.00, 4.00, 4.00, 77, 106, 37, 37, 21,
6, 177.00, 0.00,50, 1.00, 9448.00, 77, 1.00, 3.00, 0.00, 3.00, 77, 106, 76, 76, 21,
8, 176.00, 1.00,61, 3.00, 9396.00, 77, 1.00, 3.00, 1.00, 3.00, 77, 106, 50, 50, 21,
32, 174.00, 3.00,212, 16.00, 9358.00, 77, 5.00, 7.00, 4.00, 3.00, 77, 106, 37, 37, 21,
42, 175.00, 3.00,274, 23.00, 9386.00, 77, 6.00, 8.00, 5.00, 3.00, 77, 106, 38, 37, 21,
