k, ConstructKCBP, ConstructModelAABB, init-CD(kCBP-aabb), init-CD(kCBP-GJK), count(kCBP), count(real)
24,347.0,9349.0,10.0,6.0, 37, 21
10,255.0,9443.0,5.0,4.0, 43, 21
26,365.0,9356.0,9.0,6.0, 37, 21
12,266.0,9358.0,5.0,4.0, 41, 21
20,322.0,9358.0,8.0,5.0, 37, 21
14,281.0,9387.0,6.0,4.0, 40, 21
22,334.0,9343.0,9.0,6.0, 37, 21
16,293.0,9361.0,6.0,5.0, 41, 21
46,505.0,9354.0,16.0,9.0, 36, 21
18,309.0,9358.0,7.0,4.0, 39, 21
44,491.0,9375.0,15.0,9.0, 37, 21
30,393.0,9396.0,10.0,7.0, 36, 21
28,376.0,9361.0,9.0,6.0, 36, 21
36,430.0,9649.0,14.0,8.0, 37, 21
40,463.0,9512.0,14.0,8.0, 37, 21
34,419.0,9506.0,18.0,8.0, 37, 21
38,461.0,9634.0,13.0,9.0, 37, 21
6,225.0,9424.0,4.0,2.0, 76, 21
8,241.0,9491.0,4.0,4.0, 50, 21
32,405.0,9369.0,12.0,8.0, 37, 21
42,473.0,9375.0,14.0,8.0, 38, 21
