k,ConstructKCBP,ConstructModelAABB,init-CD(kCBP-aabb),init-CD(kCBP-GJK),count(kCBP),count(real)
24.00,353.20,9502.40,10.00,5.80,37.00,21.00
10.00,253.20,9453.80,4.60,3.60,43.00,21.00
26.00,372.80,9470.40,9.20,6.20,37.00,21.00
12.00,276.40,9447.80,5.00,3.60,41.00,21.00
20.00,323.80,9468.80,7.60,5.00,37.00,21.00
14.00,284.00,9464.40,5.60,4.00,40.00,21.00
22.00,338.00,9520.00,8.20,5.80,37.00,21.00
16.00,295.80,9430.00,6.40,4.60,41.00,21.00
46.00,512.60,9496.20,16.60,8.80,36.00,21.00
18.00,309.60,9473.00,6.80,4.60,39.00,21.00
44.00,496.80,9527.20,15.40,9.40,37.00,21.00
30.00,408.60,9501.20,10.60,7.00,36.00,21.00
28.00,381.60,9510.80,10.00,6.20,36.00,21.00
36.00,428.60,9563.80,12.80,7.80,37.00,21.00
40.00,459.40,9566.20,14.00,8.20,37.00,21.00
34.00,423.80,9549.00,13.60,7.40,37.00,21.00
38.00,452.80,9573.00,13.20,8.20,37.00,21.00
6.00,226.20,9430.40,3.60,2.80,76.00,21.00
8.00,243.80,9487.40,4.20,3.60,50.00,21.00
32.00,415.00,9535.20,12.00,7.00,37.00,21.00
42.00,479.00,9523.20,14.00,8.40,38.00,21.00
