k, ConstructKCBP, ConstructModelAABB, init-CD(kCBP-aabb), init-CD(kCBP-GJK), count(kCBP), count(real)
24,330.0,12102.0,4.0,2.0, 28, 16
10,236.0,12071.0,2.0,1.0, 32, 16
26,344.0,12198.0,4.0,2.0, 26, 16
12,250.0,12060.0,3.0,1.0, 29, 16
20,302.0,12107.0,3.0,2.0, 28, 16
14,265.0,12118.0,2.0,2.0, 31, 16
22,319.0,12180.0,4.0,2.0, 28, 16
16,276.0,12124.0,3.0,2.0, 29, 16
46,477.0,12167.0,7.0,4.0, 24, 16
18,292.0,12109.0,3.0,2.0, 24, 16
44,461.0,12105.0,8.0,4.0, 24, 16
30,385.0,12216.0,5.0,3.0, 24, 16
28,356.0,12288.0,5.0,3.0, 24, 16
36,403.0,12215.0,6.0,3.0, 25, 16
40,430.0,12137.0,6.0,4.0, 24, 16
34,396.0,12157.0,6.0,3.0, 25, 16
38,423.0,12233.0,6.0,3.0, 24, 16
6,221.0,12133.0,1.0,1.0, 41, 16
8,225.0,12099.0,2.0,1.0, 33, 16
32,384.0,12109.0,5.0,3.0, 24, 16
42,451.0,12152.0,6.0,3.0, 23, 16
