k,ach,cluster,projection,duality,aabbBuild,aabbBuildCount,init(kCBP),CD(kCBP),init(GJK),CD(GJK),kcbpModelCheckCount,count(Box),count(kCBP),count(GJK),count(real),
24, 161.00, 4.00,158, 7.00, 12153.00, 48, 2.00, 2.00, 1.00, 1.00, 48, 43, 28, 28, 16,
10, 160.00, 2.00,72, 2.00, 12173.00, 48, 1.00, 1.00, 1.00, 0.00, 48, 43, 32, 32, 16,
26, 161.00, 4.00,186, 8.00, 12176.00, 48, 2.00, 2.00, 1.00, 2.00, 48, 43, 26, 26, 16,
12, 161.00, 3.00,84, 3.00, 12208.00, 48, 1.00, 2.00, 0.00, 1.00, 48, 43, 29, 29, 16,
20, 162.00, 2.00,149, 6.00, 12260.00, 48, 2.00, 1.00, 1.00, 1.00, 48, 43, 28, 28, 16,
14, 162.00, 2.00,96, 4.00, 12174.00, 48, 1.00, 1.00, 1.00, 1.00, 48, 43, 31, 31, 16,
22, 165.00, 4.00,146, 7.00, 12187.00, 48, 2.00, 2.00, 1.00, 1.00, 48, 43, 28, 28, 16,
16, 161.00, 3.00,109, 4.00, 12181.00, 48, 1.00, 2.00, 1.00, 1.00, 48, 43, 29, 29, 16,
46, 163.00, 5.00,295, 15.00, 12141.00, 48, 5.00, 2.00, 2.00, 1.00, 48, 43, 24, 24, 16,
18, 162.00, 4.00,121, 5.00, 12205.00, 48, 1.00, 2.00, 1.00, 1.00, 48, 43, 24, 24, 16,
44, 162.00, 5.00,284, 14.00, 12171.00, 48, 5.00, 2.00, 3.00, 1.00, 48, 43, 24, 24, 16,
30, 161.00, 4.00,195, 10.00, 12192.00, 48, 3.00, 2.00, 1.00, 1.00, 48, 43, 24, 24, 16,
28, 168.00, 3.00,183, 9.00, 12180.00, 48, 3.00, 2.00, 1.00, 2.00, 48, 43, 24, 24, 16,
36, 162.00, 5.00,228, 11.00, 12181.00, 48, 4.00, 2.00, 2.00, 1.00, 48, 43, 25, 25, 16,
40, 162.00, 5.00,252, 12.00, 12179.00, 48, 5.00, 2.00, 2.00, 1.00, 48, 43, 24, 24, 16,
34, 162.00, 4.00,222, 11.00, 12195.00, 48, 3.00, 2.00, 1.00, 2.00, 48, 43, 25, 25, 16,
38, 162.00, 5.00,245, 12.00, 12182.00, 48, 4.00, 2.00, 1.00, 2.00, 48, 43, 24, 24, 16,
6, 175.00, 0.00,46, 1.00, 12104.00, 48, 1.00, 1.00, 0.00, 1.00, 48, 43, 41, 41, 16,
8, 166.00, 2.00,61, 2.00, 12136.00, 48, 0.00, 1.00, 1.00, 1.00, 48, 43, 33, 33, 16,
32, 161.00, 4.00,207, 10.00, 12171.00, 48, 3.00, 2.00, 2.00, 2.00, 48, 43, 24, 24, 16,
42, 160.00, 5.00,267, 14.00, 12219.00, 48, 5.00, 2.00, 2.00, 2.00, 48, 43, 23, 23, 16,
