k,ConstructKCBP,ConstructModelAABB,init-CD(kCBP-aabb),init-CD(kCBP-GJK),count(kCBP),count(real)
24.00,330.80,12131.00,4.00,2.20,28.00,16.00
10.00,236.80,12132.00,2.00,1.00,32.00,16.00
26.00,347.60,12150.80,4.20,2.40,26.00,16.00
12.00,254.00,12134.60,2.40,1.20,29.00,16.00
20.00,310.00,12186.00,3.40,2.00,28.00,16.00
14.00,263.40,12137.00,2.40,1.60,31.00,16.00
22.00,319.60,12181.60,3.60,2.00,28.00,16.00
16.00,277.40,12155.40,2.60,1.60,29.00,16.00
46.00,479.00,12138.00,7.00,4.00,24.00,16.00
18.00,291.80,12201.60,3.00,2.00,24.00,16.00
44.00,470.20,12134.80,7.40,4.00,24.00,16.00
30.00,373.00,12179.20,4.80,2.40,24.00,16.00
28.00,358.00,12161.80,4.80,2.80,24.00,16.00
36.00,406.60,12184.60,5.80,3.00,25.00,16.00
40.00,429.80,12141.00,6.20,3.40,24.00,16.00
34.00,398.00,12161.80,5.60,3.00,25.00,16.00
38.00,425.40,12166.40,6.20,3.20,24.00,16.00
6.00,215.00,12113.80,1.40,0.80,41.00,16.00
8.00,225.60,12132.00,1.80,1.40,33.00,16.00
32.00,383.40,12158.40,5.00,3.20,24.00,16.00
42.00,448.20,12156.80,6.60,3.60,23.00,16.00
