k, ConstructKCBP, ConstructModelAABB, init-CD(kCBP-aabb), init-CD(kCBP-GJK), count(kCBP), count(real)
24,258.0,6649.0,11.0,8.0, 81, 62
10,187.0,6635.0,6.0,5.0, 92, 62
26,256.0,6663.0,12.0,8.0, 77, 62
12,189.0,6625.0,6.0,5.0, 87, 62
20,233.0,6638.0,9.0,7.0, 80, 62
14,200.0,6633.0,7.0,6.0, 85, 62
22,236.0,6651.0,10.0,8.0, 81, 62
16,209.0,6648.0,7.0,6.0, 84, 62
46,346.0,6653.0,18.0,13.0, 75, 62
18,217.0,6637.0,9.0,7.0, 80, 62
44,335.0,6629.0,20.0,13.0, 75, 62
30,272.0,6635.0,14.0,9.0, 75, 62
28,269.0,6634.0,12.0,9.0, 77, 62
36,301.0,6643.0,15.0,11.0, 77, 62
40,311.0,6655.0,17.0,12.0, 76, 62
34,292.0,6650.0,14.0,11.0, 77, 62
38,308.0,6649.0,16.0,12.0, 77, 62
6,163.0,6679.0,4.0,4.0, 114, 62
8,171.0,6637.0,5.0,5.0, 94, 62
32,280.0,6633.0,15.0,10.0, 78, 62
42,331.0,6637.0,17.0,13.0, 75, 62
