k,ach,cluster,projection,duality,aabbBuild,aabbBuildCount,init(kCBP),CD(kCBP),init(GJK),CD(GJK),kcbpModelCheckCount,count(Box),count(kCBP),count(GJK),count(real),
24, 127.00, 4.00,99, 11.00, 6500.00, 88, 3.00, 7.00, 3.00, 5.00, 88, 168, 81, 81, 62,
10, 128.00, 2.00,47, 3.00, 6488.00, 88, 1.00, 4.00, 1.00, 4.00, 88, 168, 92, 92, 62,
26, 127.00, 4.00,108, 13.00, 6504.00, 88, 4.00, 7.00, 4.00, 4.00, 88, 168, 77, 77, 62,
12, 126.00, 3.00,54, 5.00, 6505.00, 88, 2.00, 5.00, 2.00, 4.00, 88, 168, 87, 87, 62,
20, 126.00, 5.00,84, 9.00, 6495.00, 88, 3.00, 7.00, 3.00, 5.00, 88, 168, 80, 80, 62,
14, 127.00, 3.00,62, 5.00, 6511.00, 88, 2.00, 5.00, 2.00, 4.00, 88, 168, 85, 85, 62,
22, 126.00, 5.00,92, 9.00, 6522.00, 88, 3.00, 7.00, 3.00, 4.00, 88, 168, 81, 81, 62,
16, 129.00, 3.00,70, 6.00, 6520.00, 88, 2.00, 6.00, 3.00, 4.00, 88, 168, 84, 84, 62,
46, 127.00, 6.00,184, 24.00, 6505.00, 88, 8.00, 10.00, 8.00, 5.00, 88, 168, 75, 75, 62,
18, 127.00, 3.00,78, 7.00, 6528.00, 88, 2.00, 6.00, 3.00, 4.00, 88, 168, 80, 80, 62,
44, 126.00, 5.00,177, 22.00, 6499.00, 88, 8.00, 11.00, 7.00, 6.00, 88, 168, 75, 75, 62,
30, 127.00, 5.00,123, 14.00, 6512.00, 88, 5.00, 8.00, 5.00, 5.00, 88, 168, 75, 75, 62,
28, 131.00, 6.00,114, 14.00, 6511.00, 88, 5.00, 7.00, 5.00, 4.00, 88, 168, 77, 77, 62,
36, 128.00, 5.00,142, 17.00, 6497.00, 88, 6.00, 9.00, 6.00, 5.00, 88, 168, 77, 77, 62,
40, 127.00, 5.00,158, 20.00, 6502.00, 88, 6.00, 10.00, 7.00, 5.00, 88, 168, 76, 76, 62,
34, 129.00, 5.00,137, 17.00, 6499.00, 88, 5.00, 9.00, 6.00, 5.00, 88, 168, 77, 77, 62,
38, 134.00, 6.00,154, 20.00, 6496.00, 88, 6.00, 9.00, 7.00, 5.00, 88, 168, 77, 77, 62,
6, 133.00, 0.00,32, 2.00, 6499.00, 88, 0.00, 4.00, 1.00, 3.00, 88, 168, 114, 114, 62,
8, 126.00, 2.00,40, 2.00, 6488.00, 88, 1.00, 4.00, 1.00, 4.00, 88, 168, 94, 94, 62,
32, 127.00, 5.00,131, 16.00, 6499.00, 88, 5.00, 9.00, 6.00, 5.00, 88, 168, 78, 78, 62,
42, 128.00, 5.00,168, 22.00, 6503.00, 88, 7.00, 9.00, 7.00, 5.00, 88, 168, 75, 75, 62,
