k,ConstructKCBP,ConstructModelAABB,init-CD(kCBP-aabb),init-CD(kCBP-GJK),count(kCBP),count(real)
24.00,244.80,6535.60,10.60,8.20,81.00,62.00
10.00,181.00,6547.60,5.60,5.00,92.00,62.00
26.00,253.00,6549.80,11.60,8.40,77.00,62.00
12.00,188.60,6553.20,6.60,5.60,87.00,62.00
20.00,227.40,6543.80,9.60,7.60,80.00,62.00
14.00,200.40,6554.80,7.00,6.00,85.00,62.00
22.00,234.60,6541.80,10.00,7.40,81.00,62.00
16.00,208.00,6575.60,7.60,6.60,84.00,62.00
46.00,344.60,6571.40,18.40,13.20,75.00,62.00
18.00,215.80,6547.60,8.80,7.00,80.00,62.00
44.00,335.60,6592.00,19.40,13.00,75.00,62.00
30.00,271.60,6536.80,13.40,9.60,75.00,62.00
28.00,263.60,6531.80,12.20,9.00,77.00,62.00
36.00,294.20,6527.20,14.80,10.80,77.00,62.00
40.00,310.20,6525.80,16.60,11.80,76.00,62.00
34.00,287.80,6549.00,14.20,10.80,77.00,62.00
38.00,307.80,6543.80,15.20,11.60,77.00,62.00
6.00,163.00,6558.00,4.00,4.20,114.00,62.00
8.00,171.20,6556.80,5.00,4.80,94.00,62.00
32.00,279.00,6536.40,14.20,10.40,78.00,62.00
42.00,324.00,6550.20,16.60,12.60,75.00,62.00
